id,device,hand,description,unit
412,Handgelenk,Links,"Summe Abduktion + Extension / Flexion, 50 Ncm",Grad
413,Handgelenk,Links,"Abduktion ulnar + Extension, 25 Ncm",Grad
414,Handgelenk,Links,"Abduktion radial + Extension, 25 Ncm",Grad
415,Handgelenk,Links,"Summe Abduktion + Extension / Flexion, 25 Ncm",Grad
416,Handgelenk,Links,"Abduktion ulnar + Extension, 50 Ncm",Grad
417,Handgelenk,Links,"Abduktion radial + Flexion, 50 Ncm",Grad
418,Handgelenk,Links,"Summe Abduktion + Extension / Flexion, 50 Ncm",Grad
419,Handgelenk,Links,Extension 50 Ncm,Grad
420,Handgelenk,Links,Flexion 50 Ncm,Grad
421,Handgelenk,Links,"Summe Extension + Flexion, 50 Ncm",Grad
422,Handgelenk,Links,Extension 25 Ncm,Grad
423,Handgelenk,Links,Flexion 25 Ncm,Grad
424,Handgelenk,Links,Summe Extension + Flexion 25 Ncm,Grad
425,Handgelenk,Links,Extension 50 Ncm,Grad
426,Handgelenk,Links,Flexion 50 Ncm,Grad
427,Handgelenk,Links,"Summe Extension + Flexion, 50 Ncm",Grad
428,Handgelenk,Links,"Abduktion ulnar + Flexion, 50 Ncm",Grad
429,Handgelenk,Links,"Abduktion radial + Extension, 50 Ncm",Grad
430,Handgelenk,Links,"Summe Abduktion + Extension / Flexion, 50 Ncm",Grad
431,Handgelenk,Links,"Abduktion ulnar + Flexion, 25 Ncm",Grad
432,Handgelenk,Links,"Abduktion radial + Extension, 25 Ncm",Grad
433,Handgelenk,Links,"Summe Abduktion + Extension / Flexion, 25 Ncm",Grad
434,Handgelenk,Links,"Abduktion ulnar + Flexion, 50 Ncm",Grad
435,Handgelenk,Links,"Abduktion radial + Extension, 50 Ncm",Grad
436,Handgelenk,Links,"Summe Abduktion + Extension / Flexion, 50 Ncm",Grad
437,Handgelenk,Links,Extension aktiv,Grad
438,Handgelenk,Links,Flexion aktiv,Grad
