instrument,sex,hand,id,bin_edge,value
akkordeon,m,right,50,3,86.0
akkordeon,m,right,50,4,86.0
akkordeon,m,right,50,5,86.0
akkordeon,m,right,50,6,86.0
akkordeon,m,right,50,7,86.0
akkordeon,m,right,50,8,86.0
akkordeon,m,right,50,9,86.0
akkordeon,m,right,51,1,87.0
akkordeon,m,right,51,2,87.0
akkordeon,m,right,51,3,87.0
akkordeon,m,right,51,4,87.0
akkordeon,m,right,51,5,87.0
akkordeon,m,right,51,6,87.0
akkordeon,m,right,51,7,87.0
akkordeon,m,right,51,8,87.0
akkordeon,m,right,51,9,87.0
akkordeon,m,right,52,1,38.0
akkordeon,m,right,52,2,38.0
akkordeon,m,right,52,3,38.0
akkordeon,m,right,52,4,38.0
akkordeon,m,right,52,5,38.0
akkordeon,m,right,52,6,38.0
akkordeon,m,right,52,7,38.0
akkordeon,m,right,52,8,38.0
akkordeon,m,right,52,9,38.0
akkordeon,m,right,53,1,87.0
akkordeon,m,right,53,2,87.0
akkordeon,m,right,53,3,87.0
akkordeon,m,right,53,4,87.0
akkordeon,m,right,53,5,87.0
akkordeon,m,right,53,6,87.0
akkordeon,m,right,53,7,87.0
akkordeon,m,right,53,8,87.0
akkordeon,m,right,53,9,87.0
akkordeon,m,right,54,1,95.0
akkordeon,m,right,54,2,95.0
akkordeon,m,right,54,3,95.0
akkordeon,m,right,54,4,95.0
akkordeon,m,right,54,5,95.0
akkordeon,m,right,54,6,95.0
akkordeon,m,right,54,7,95.0
akkordeon,m,right,54,8,95.0
akkordeon,m,right,54,9,95.0
akkordeon,m,right,55,1,103.0
akkordeon,m,right,55,2,103.0
akkordeon,m,right,55,3,103.0
akkordeon,m,right,55,4,103.0
akkordeon,m,right,55,5,103.0
akkordeon,m,right,55,6,103.0
akkordeon,m,right,55,7,103.0
akkordeon,m,right,55,8,103.0
akkordeon,m,right,55,9,103.0
akkordeon,w,left,40,1,36.0
akkordeon,w,left,40,2,37.0
akkordeon,w,left,40,3,38.0
akkordeon,w,left,40,4,40.0
akkordeon,w,left,40,5,42.0
akkordeon,w,left,40,6,42.5
akkordeon,w,left,40,7,43.0
akkordeon,w,left,40,8,43.5
akkordeon,w,left,40,9,44.0
akkordeon,w,left,41,1,22.0
akkordeon,w,left,41,2,23.5
akkordeon,w,left,41,3,25.0
akkordeon,w,left,41,4,28.0
